recorded_at,date,time,food,display_name,category,calories_kcal,carbohydrate_g,fat_g,protein_g,sugar_g,fiber_g,gi,risk_label
2026-06-20T23:19:45+09:00,2026-06-20,23:19:45,sandwich,샌드위치,meal,240,27.0,8.0,11.0,4.0,2.5,70,높음
2026-06-20T23:24:21+09:00,2026-06-20,23:24:21,fried_egg,계란후라이,protein_food,196,0.9,15.0,13.6,0.4,0.0,0,낮음
2026-06-21T00:11:03+09:00,2026-06-21,00:11:03,sandwich,샌드위치,meal,240,27.0,8.0,11.0,4.0,2.5,70,높음
2026-06-21T00:23:50+09:00,2026-06-21,00:23:50,grilled_salmon,구운 연어,protein_food,206,0.0,12.4,22.1,0.0,0.0,0,낮음
2026-06-21T00:25:10+09:00,2026-06-21,00:25:10,fried_egg,계란후라이,protein_food,196,0.9,15.0,13.6,0.4,0.0,0,낮음
2026-06-21T01:06:24+09:00,2026-06-21,01:06:24,red_apple,사과,fruit,52,13.8,0.2,0.3,10.4,2.4,36,낮음
2026-06-21T01:06:54+09:00,2026-06-21,01:06:54,white_rice,흰쌀밥,grain,130,28.6,0.3,2.4,0.1,0.4,73,높음
2026-06-21T13:44:37+09:00,2026-06-21,13:44:37,white_rice,흰쌀밥,grain,130,28.6,0.3,2.4,0.1,0.4,73,높음
